Date,Time_Hour,bike_stands,Available_Bikes,Available_Bike_Stands,Avail_Bike_Changes,Avail_Bikes_Decrease,Avail_Bikes_Increase,Avail_Bike_Stand_Changes,Avail_Stands_Decrease,Avail_Stands_Increase,address,banking,Elevation,Latitude,Longitude,number,Availability,Date_Time,rain,temp,wetb,dewpt,vappr,rhum,msl,Total_Activity,Weight,Total_System_Bikes,DayofWeek,DayWeek_proc,Avg_Avail_Bikes,Avg_Avail_Bike_Change,old_index,demand,newindex,cluster
2019-03-20,1960-01-01 17:00:00,20,0,20,5,0,5,-5,5,0,Denmark Street Great,0,21,53.35561,-6.261397,59,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,2.21,1017,4,Wed,1,1,228825,-1,59,0
2019-03-20,1960-01-01 17:00:00,30,10,20,15,4,19,-15,19,4,North Circular Road,0,12,53.359624,-6.260348,60,0.3333333333,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,23,6.2,1017,4,Wed,15,7,41673,-5,60,0
2019-03-20,1960-01-01 17:00:00,25,0,25,1,2,3,-1,3,2,Hardwicke Place,1,19,53.357043,-6.263232,61,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,3.26,1017,4,Wed,2,2,172570,-2,61,0
2019-03-20,1960-01-01 17:00:00,40,28,12,-27,27,0,27,0,27,Lime Street,0,4,53.346026,-6.243576,62,0.7,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,27,4.44,1017,4,Wed,8,-6,82556,18,62,0
2019-03-20,1960-01-01 17:00:00,35,28,7,-24,24,0,24,0,24,Fenian Street,0,6,53.341428,-6.24672,63,0.8,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,24,4.2,1017,4,Wed,19,-8,548970,9,63,0
2019-03-20,1960-01-01 17:00:00,40,22,18,0,4,4,0,4,4,Sandwith Street,1,4,53.345203,-6.247163,64,0.55,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,8,5.12,1017,4,Wed,22,-4,529971,0,64,0
2019-03-20,1960-01-01 17:00:00,40,29,11,-29,30,1,29,1,30,Convention Centre,1,6,53.34744,-6.238523,65,0.725,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,31,4.38,1017,4,Wed,10,-8,59489,18,65,0
2019-03-20,1960-01-01 17:00:00,40,0,40,4,1,5,-4,5,1,New Central Bank,0,7,53.347122,-6.234749,66,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,6,6.49,1017,4,Wed,3,0,242119,-3,66,0
2019-03-20,1960-01-01 17:00:00,40,25,15,-10,13,3,10,3,13,The Point,0,6,53.346867,-6.230852,67,0.625,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,16,5.77,1017,4,Wed,18,-3,127498,7,67,0
2019-03-20,1960-01-01 17:00:00,40,11,29,-11,11,0,11,0,11,Hanover Quay,1,5,53.344115,-6.237153,68,0.275,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,11,7.93,1017,4,Wed,8,-5,472618,3,68,0
2019-03-20,1960-01-01 17:00:00,40,21,19,-16,20,4,16,4,20,Grand Canal Dock,0,5,53.342638,-6.238695,69,0.525,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,24,7.06,1017,4,Wed,11,-8,150886,10,69,0
2019-03-20,1960-01-01 17:00:00,28,19,8,-1,14,13,2,13,15,Barrow Street,1,8,53.341655,-6.236198,70,0.6785714286,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,27,6.31,1017,4,Wed,11,-4,42920,8,70,0
2019-03-20,1960-01-01 17:00:00,40,1,39,-1,2,1,1,1,2,Kevin Street,1,16,53.337757,-6.267699,71,0.025,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,3,4.5,1017,4,Wed,2,1,11084,-1,71,0
2019-03-20,1960-01-01 17:00:00,31,3,28,9,10,19,-9,19,10,John Street West,0,20,53.343105,-6.277167,72,0.0967741935,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,29,4.59,1017,4,Wed,8,5,215541,-5,72,0
2019-03-20,1960-01-01 17:00:00,30,2,28,-1,3,2,1,2,3,Francis Street,0,16,53.342081,-6.275233,73,0.0666666667,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,4.11,1017,4,Wed,6,1,286002,-4,73,0
2019-03-20,1960-01-01 17:00:00,30,21,9,-2,5,3,2,3,5,Oliver Bond Street,0,13,53.343893,-6.280531,74,0.7,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,8,3.92,1017,4,Wed,13,-1,162839,8,74,0
2019-03-20,1960-01-01 17:00:00,40,1,39,13,0,13,-13,13,0,James Street,1,19,53.343456,-6.287409,75,0.025,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,13,3.69,1017,4,Wed,14,7,133649,-13,75,0
2019-03-20,1960-01-01 17:00:00,38,1,37,1,2,3,-1,3,2,Market Street South,0,27,53.342296,-6.287661,76,0.0263157895,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,3.2,1017,4,Wed,12,1,11689,-11,76,0
2019-03-20,1960-01-01 17:00:00,29,2,27,0,4,4,0,4,4,Wolfe Tone Street,0,11,53.348875,-6.267459,77,0.0689655172,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,8,3.66,1017,4,Wed,5,0,9137,-3,77,0
2019-03-20,1960-01-01 17:00:00,40,3,37,8,0,8,-8,8,0,Mater Hospital,0,21,53.359967,-6.264828,78,0.075,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,8,3.97,1017,4,Wed,7,6,369454,-4,78,0
2019-03-20,1960-01-01 17:00:00,27,0,27,2,1,3,-2,3,1,Eccles Street East,0,22,53.358115,-6.265601,79,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,4,2.16,1017,4,Wed,1,1,181908,-1,79,0
2019-03-20,1960-01-01 17:00:00,40,10,30,1,4,5,-1,5,4,St James Hospital (Luas),0,22,53.341359,-6.292951,80,0.25,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,9,4.5,1017,4,Wed,11,7,429232,-1,80,0
2019-03-20,1960-01-01 17:00:00,40,0,40,0,0,0,0,0,0,St. James Hospital (Central),0,21,53.339983,-6.295594,81,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,0,1.78,1017,4,Wed,7,2,376032,-7,81,0
2019-03-20,1960-01-01 17:00:00,22,0,22,1,1,2,-1,2,1,Mount Brown,0,13,53.341645,-6.29719,82,0,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,3,1.74,1017,4,Wed,4,4,195449,-4,82,0
2019-03-20,1960-01-01 17:00:00,40,7,33,7,1,8,-7,8,1,Emmet Road,0,17,53.340714,-6.308191,83,0.175,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,9,3.75,1017,4,Wed,12,9,50103,-5,83,0
2019-03-20,1960-01-01 17:00:00,30,5,25,2,1,3,-2,3,1,Brookfield Road,0,20,53.339005,-6.300217,84,0.1666666667,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,4,2.96,1017,4,Wed,7,6,243697,-2,84,0
2019-03-20,1960-01-01 17:00:00,35,6,29,9,2,11,-9,11,2,Rothe Abbey,1,23,53.338776,-6.30395,85,0.1714285714,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,13,3.38,1017,4,Wed,10,6,205893,-4,85,0
2019-03-20,1960-01-01 17:00:00,38,12,26,16,2,18,-16,18,2,Parkgate Street,1,10,53.347972,-6.291804,86,0.3157894737,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,20,4.34,1017,4,Wed,21,9,370418,-9,86,0
2019-03-20,1960-01-01 17:00:00,38,1,37,3,1,4,-3,4,1,Collins Barracks Museum,1,8,53.347477,-6.28525,87,0.0263157895,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,5,2.98,1017,4,Wed,6,7,125002,-5,87,0
2019-03-20,1960-01-01 17:00:00,30,9,21,5,4,9,-5,9,4,Blackhall Place,0,11,53.3488,-6.281637,88,0.3,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,13,3.65,1017,4,Wed,8,6,270099,1,88,0
2019-03-20,1960-01-01 17:00:00,40,7,33,-7,7,0,7,0,7,Fitzwilliam Square East,1,18,53.335211,-6.2509,89,0.175,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,7,3.17,1017,4,Wed,9,-6,185564,-2,89,0
2019-03-20,1960-01-01 17:00:00,40,19,21,-18,19,1,18,1,19,Benson Street,0,8,53.344153,-6.233451,90,0.475,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,20,4.32,1017,4,Wed,3,-3,548347,16,90,0
2019-03-20,1960-01-01 17:00:00,30,17,13,5,4,9,-5,9,4,South Dock Road,0,4,53.341833,-6.231291,91,0.5666666667,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,13,6.03,1017,4,Wed,12,1,35282,5,91,0
2019-03-20,1960-01-01 17:00:00,40,12,27,12,0,12,-12,12,0,Heuston Bridge (North),0,5,53.347802,-6.292432,92,0.3,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,12,4.23,1017,4,Wed,24,10,120308,-12,92,0
2019-03-20,1960-01-01 17:00:00,40,32,8,8,1,9,-8,9,1,Heuston Station (Central),0,5,53.346603,-6.296924,93,0.8,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,10,2.79,1017,4,Wed,30,8,275529,2,93,0
2019-03-20,1960-01-01 17:00:00,40,3,37,36,1,37,-36,37,1,Heuston Station (Car Park),0,5,53.346985,-6.297804,94,0.075,2019-03-20 17:00:00,0,15,12.8,10.9,13.1,76,1028.2,38,2.2,1017,4,Wed,14,13,104128,-11,94,0
